,SSQ,mag_mean,mag,mag_sum,pulse_count,pulse_time,max_pulse_time,pulse_flow,max_pulse_flow,time
Allen_Chair,13.92,41.37520794,23707.99415,20121.81528,52,224,29,8995.115124,1511.069362,04:45
Allen_JumpGlide,31.04,34.5005066,28945.92504,23649.01487,89,332,25,10891.00958,945.9334769,06:45
Allen_Rope,9.54,37.803849,28693.12139,23742.56213,105,292,13,9068.749592,1035.254762,06:15
EliseCheng_Chair,7.58,46.11940317,18586.11948,15422.45017,49,168,17,5782.612457,701.8696435,03:15
EliseCheng_JumpGlide,29.08,45.33873851,30059.58363,25505.2,73,249,16,9809.820108,1193.002965,05:30
EliseCheng_Rope,17.12,44.18928293,33318.71933,28253.91781,95,313,16,10190.1158,585.1146063,06:15
Fanger_Chair,26.66,32.04313857,19770.0926,16047.28904,42,110,28,2656.398023,1275.820386,05:00
Fanger_JumpGlide,76,38.92920791,37994.90692,32563.30574,104,393,20,11901.63693,1292.975798,08:00
Fanger_Rope,93.12,46.9278779,77384.07065,70407.14819,234,647,28,23936.72728,1313.039854,13:30
Fanny_Chair,0,46.84764436,29279.77773,25589.33707,63,275,24,10199.67131,1149.564565,05:00
Fanny_JumpGlide,17.12,46.60897827,40922.68292,36001.62047,109,360,16,12441.00654,807.9432623,07:15
Fanny_Rope,17.12,41.89960957,46634.26545,40903.6092,139,422,14,14772.30423,755.6851097,09:15
Johnny_Chair,7.58,26.91789486,18546.42956,14845.38225,69,237,32,8088.938326,1629.016315,05:30
Johnny_JumpGlide,17.12,47.23059694,50631.19992,44228.45962,147,414,10,16160.57426,647.5907774,08:45
Johnny_Rope,17.12,42.32459758,37584.24265,30860.25038,134,375,14,11702.9035,721.1702692,07:15
kao_Chair,7.58,31.49829221,16757.09146,13445.25489,58,195,14,6133.015958,733.1356543,04:15
kao_JumpGlide,43,32.11164757,25175.5317,21929.78247,97,283,10,7716.449192,920.6135548,06:30
kao_Rope,38.62,34.18535884,29365.22324,23473.05901,98,336,15,9497.766535,498.1446106,07:00
Lei_Chair,23.46,39.29264185,21650.24566,17391.65947,59,220,20,7618.569014,1064.141324,04:30
Lei_JumpGlide,17.12,36.6446226,29608.85506,25421.49751,92,312,39,9358.234735,1897.88692,06:30
Lei_Rope,17.12,39.53891542,31314.82101,26141.97257,116,305,11,9706.909242,625.5697292,06:30
Meng_Chair,0,37.2751263,14760.95001,11754.36654,41,156,20,5171.20686,1221.701159,03:15
Meng_JumpGlide,0,33.94927031,22847.85892,18677.08204,75,266,28,7038.570595,1349.665843,05:30
Meng_Rope,0,43.11503318,31042.82389,25172.59456,95,297,14,9616.059541,437.5246105,06:00
QianChen_Chair,0,25.85501927,17607.26813,14464.09355,50,246,22,8250.165937,1205.086715,05:30
QianChen_JumpGlide,0,39.69081566,29172.74951,25598.74842,103,301,17,9063.091882,550.6143286,06:00
QianChen_Rope,13.92,38.30726629,39494.79155,33223.79211,130,428,16,13127.97288,824.6571208,08:30
Shan-Yuan_Chair,54.5,39.4900628,23457.0973,20238.9399,69,236,24,7898.187185,974.6011041,04:45
Shan-Yuan_JumpGlide,57.7,41.62109307,45242.12817,40227.86401,138,436,14,16006.96641,941.0812053,09:00
Shan-Yuan_Rope,110.24,40.99582041,61449.59173,53252.90644,96,244,20,5749.118057,1129.44925,12:15
Shiyuan_Chair,7.58,35.19438657,20588.71614,16979.53114,79,227,15,7012.463619,680.3770198,04:45
Shiyuan_JumpGlide,7.58,35.03291435,30653.80006,26082.20919,110,326,22,9864.619232,1174.004829,07:15
Shiyuan_Rope,7.58,40.27520822,47846.94736,40887.85312,172,471,15,15137.90907,858.112767,09:45
Steff_Chair,71.62,27.61383255,16236.93354,13173.23127,52,214,21,6481.543579,589.9161691,04:45
Steff_JumpGlide,9.54,39.87527614,33654.73306,29042.13641,113,340,26,10078.61928,1040.993233,07:00
Steff_Rope,134.94,38.62375885,42254.39218,36995.62951,149,427,16,13255.74385,686.7413413,09:00
Tingwei_Chair,0,39.58843644,16508.37799,12762.15219,46,161,17,5483.265275,918.771084,03:15
Tingwei_JumpGlide,87.5,37.03076993,32179.73906,27863.60991,101,335,29,11000.64804,1485.299156,07:00
Tingwei_Rope,101.42,42.43018357,52146.6956,44502.33629,156,467,23,17176.70133,1920.340473,10:00
"Yi-wei,Guo_Chair",0,43.79462566,22028.6967,19641.51543,67,189,13,7115.158302,1033.454778,04:00
"Yi-wei,Guo_JumpGlide",9.54,40.35480504,34382.2939,30107.21976,140,336,15,10156.62477,727.0247666,07:00
"Yi-wei,Guo_Rope",17.12,41.82564864,32456.70335,27549.63807,124,318,22,9452.105278,715.2331417,06:15
,,,,,,,,,,
,,0.040306212,0.539451183,,,,,,,
