,SSQ,mag_mean,mag,mag_sum,pulse_count,pulse_time,max_pulse_time,pulse_flow,max_pulse_flow,time
Allen_Chair,13.92,45.16361695,25878.75251,22176.10526,55,229,29,9886.546091,1629.234313,04:45
Allen_JumpGlide,31.04,37.3863768,31367.17014,25848.10497,88,331,24,11820.61618,998.8360907,06:45
Allen_Rope,9.54,41.12365478,31212.85398,26001.78707,106,291,13,9867.352843,1146.805375,06:15
EliseCheng_Chair,7.58,50.30811787,20274.1715,16986.04382,47,165,17,6395.281543,782.3661882,03:15
EliseCheng_JumpGlide,29.08,49.46555408,32795.66235,28028.97312,75,247,16,10805.71353,1298.353499,05:30
EliseCheng_Rope,17.12,48.75248437,36759.37321,31409.57132,100,311,11,11201.21915,542.6982855,06:15
Fanger_Chair,26.66,34.78421977,21461.28082,17628.20048,42,108,28,2861.241339,1277.050236,05:00
Fanger_JumpGlide,76,42.66061306,41636.75835,35987.75786,110,385,20,13080.65542,1421.906808,08:00
Fanger_Rope,93.12,51.57538951,85047.8173,77745.19668,232,634,28,26252.34444,1404.374899,13:30
Fanny_Chair,0,51.07413311,31921.3332,28091.95779,60,276,24,11187.9032,1227.4784,05:00
Fanny_JumpGlide,17.12,50.75145579,44559.77818,39421.17718,104,354,16,13662.92371,885.6114101,07:15
Fanny_Rope,17.12,45.90315404,51090.21044,45073.96948,141,420,15,16201.42264,867.7061559,09:15
Johnny_Chair,7.58,29.27754257,20172.22683,16299.46147,72,241,32,8725.121133,1715.521957,05:30
Johnny_JumpGlide,17.12,51.52416135,55233.90097,48576.09576,152,411,10,17619.00192,717.6535818,08:45
Johnny_Rope,17.12,45.89017675,40750.47696,33747.36114,133,375,14,12664.45715,789.5654878,07:15
kao_Chair,7.58,34.59575466,18404.94148,14934.77863,59,196,14,6724.377062,759.7957757,04:15
kao_JumpGlide,43,35.12833295,27540.61303,24142.08358,93,281,11,8548.276281,1025.695415,06:30
kao_Rope,38.62,37.0706153,31843.65854,25744.27993,100,346,16,10270.42318,562.5814043,07:00
Lei_Chair,23.46,42.4678954,23399.81036,19020.21426,59,220,20,8256.909103,1124.674122,04:30
Lei_JumpGlide,17.12,39.74462081,32113.65362,27739.40027,92,309,39,10184.31628,2069.553642,06:30
Lei_Rope,17.12,43.09812306,34133.71346,28686.60841,118,303,11,10552.10588,677.5370508,06:30
Meng_Chair,0,40.35444607,15980.36065,12870.7618,41,157,20,5615.35189,1352.783689,03:15
Meng_JumpGlide,0,36.69795667,24697.72484,20387.00458,78,263,27,7652.315703,1435.754358,05:30
Meng_Rope,0,46.44683417,33441.7206,27338.60663,90,298,14,10360.44377,475.5782237,06:00
QianChen_Chair,0,27.86517483,18976.18406,15737.29181,52,244,22,8892.39174,1250.580654,05:30
QianChen_JumpGlide,0,43.18761218,31742.89495,28008.48534,103,301,17,9915.347962,614.5475765,06:00
QianChen_Rope,13.92,41.94254191,43242.7607,36686.61189,131,433,16,14273.85001,912.1258418,08:30
Shan-Yuan_Chair,54.5,43.28867822,25713.47487,22407.58278,70,235,24,8668.198977,1028.786366,04:45
Shan-Yuan_JumpGlide,57.7,45.59678425,49563.70448,44311.36343,135,435,18,17621.92909,1194.91192,09:00
Shan-Yuan_Rope,110.24,45.56293965,68294.23962,59679.75826,94,230,20,5992.007863,1212.911357,12:15
Shiyuan_Chair,7.58,37.7677987,22094.16224,18406.31597,77,223,15,7540.057822,755.0180179,04:45
Shiyuan_JumpGlide,7.58,38.07757502,33317.87814,28597.35931,105,323,22,10841.86297,1282.030633,07:15
Shiyuan_Rope,7.58,43.91578949,52171.95792,44910.4808,175,465,15,16651.2887,923.3453862,09:45
Steff_Chair,71.62,29.5044631,17348.6243,14170.99592,53,212,13,6952.851075,588.944888,04:45
Steff_JumpGlide,9.54,43.35662881,36592.99471,31798.19538,112,339,26,11013.48044,1061.763157,07:00
Steff_Rope,134.94,42.30447072,46281.09097,40789.92004,152,434,16,14505.12789,763.1103347,09:00
Tingwei_Chair,0,42.9915192,17927.46351,14094.91258,45,161,17,5963.763555,986.5260298,03:15
Tingwei_JumpGlide,87.5,40.38841529,35097.53288,30617.11796,98,333,29,12107.14374,1634.488897,07:00
Tingwei_Rope,101.42,46.59636033,57266.92684,49242.21548,155,469,23,18906.48898,2116.473922,10:00
"Yi-wei,Guo_Chair",0,47.66322795,23974.60366,21482.08789,62,189,13,7827.833788,1121.695639,04:00
"Yi-wei,Guo_JumpGlide",9.54,43.67883205,37214.36491,32741.16557,137,336,15,11086.39163,787.0578156,07:00
"Yi-wei,Guo_Rope",17.12,45.47052881,35285.13036,30158.89489,125,317,22,10396.05766,816.7607859,06:15
,,,,,,,,,,
,,0.06444675,0.544228873,,,,,,,
