,SSQ,mag_mean,mag,mag_sum,pulse_count,pulse_time,max_pulse_time,pulse_flow,max_pulse_flow,time
Allen_Chair,13.92,5.29929350832,2024.33012018,1969.05701402,41,125,14,937.924248449,167.213768638,3:0
Allen_JumpGlide,31.04,3.95174988121,2209.02818359,2100.9300344,71,194,9,955.833956258,71.3440659376,4:30
Allen_Rope,9.54,4.50286968052,2278.45205834,2152.41172941,79,185,9,846.661574241,115.150628177,4:0
EliseCheng_Chair,7.58,5.87046250769,1579.15441457,1518.98829517,40,97,7,639.838544787,67.9107934591,2:0
EliseCheng_JumpGlide,29.08,5.67406896762,2507.93848369,2408.72892715,69,158,9,990.70082642,104.266435141,3:30
EliseCheng_Rope,17.12,6.11787146897,3077.28934889,2909.97958529,83,194,10,1019.79839172,81.0744045929,4:0
Fanger_Chair,26.66,3.69612459288,1512.61897158,1463.9528935,30,72,12,224.043411922,56.1266689687,3:0
Fanger_JumpGlide,76.0,5.09094171628,3314.2030573,3196.76657107,81,239,18,1270.9140938,176.151682437,5:15
Fanger_Rope,93.12,6.35281134509,6988.0924796,6816.23623113,176,409,16,2390.37100415,116.908856688,9:0
Fanny_Chair,0.0,6.01394502322,2507.81507468,2449.97733596,57,160,9,1017.71785343,86.183299281,3:15
Fanny_JumpGlide,17.12,5.68725103158,3327.04185347,3206.79089618,65,220,17,1293.71921782,116.059781568,4:45
Fanny_Rope,17.12,5.39345800571,4001.94584023,3826.40204474,112,256,16,1452.56820486,160.490906122,6:0
Johnny_Chair,7.58,3.35563241895,1543.59091272,1445.60556189,59,149,16,674.434917796,81.4201665534,3:45
Johnny_JumpGlide,17.12,5.95613151776,4258.6340352,4138.70431982,117,265,9,1495.71861551,99.1852454811,5:45
Johnny_Rope,17.12,4.98871866533,2953.32144988,2797.43281839,103,228,11,1032.93279127,84.4574786027,4:45
kao_Chair,7.58,4.3459272619,1542.80417797,1454.18708976,40,107,11,646.917778592,100.425399559,2:45
kao_JumpGlide,43.0,4.08803578434,2138.04271521,2048.53831239,68,168,14,820.209242136,124.01583441,4:15
kao_Rope,38.62,3.9658989804,2272.46011577,2158.1253274,69,183,11,855.078210284,54.4482670827,4:45
Lei_Chair,23.46,4.37459808937,1609.85209689,1555.99030503,47,125,9,664.510542933,59.4903258699,3:0
Lei_JumpGlide,17.12,4.28132852185,2307.63607327,2218.07921026,75,202,13,864.44947009,62.6773356906,4:15
Lei_Rope,17.12,4.80816635424,2538.71183504,2390.4150325,82,198,8,894.793748796,61.250539171,4:15
Meng_Chair,0.0,4.25658930229,1123.7395758,1075.39577498,31,91,10,468.719146118,82.2723079627,2:0
Meng_JumpGlide,0.0,3.7883383467,1700.96391767,1637.07855112,66,160,14,628.134115485,71.1535605672,3:30
Meng_Rope,0.0,4.62544800282,2220.21504135,2088.34484936,81,183,11,835.11054192,60.7290626645,4:0
QianChen_Chair,0.0,2.79719998355,1269.92879253,1221.83458192,52,143,13,638.154677957,90.1690100681,3:45
QianChen_JumpGlide,0.0,4.89418298908,2398.14966465,2318.88099662,65,186,13,911.5069637,79.2977666936,4:0
QianChen_Rope,13.92,4.92389841909,3382.71821392,3219.32551444,96,245,9,1226.84600508,94.2473507049,5:30
Shan-Yuan_Chair,54.5,5.31131917398,2103.28239289,2048.13894065,64,134,8,805.336141622,81.7977779229,3:15
Shan-Yuan_JumpGlide,57.7,5.55508638419,4027.43762853,3918.21610073,104,271,12,1587.26970849,119.084604835,6:0
Shan-Yuan_Rope,110.24,6.24046137142,6204.00505679,5980.2811588,54,102,10,375.453272234,63.7710033743,8:0
Shiyuan_Chair,7.58,3.55668524268,1387.10724464,1346.26811,47,119,9,594.21532111,68.3768967586,3:15
Shiyuan_JumpGlide,7.58,4.15847839732,2424.39290564,2337.79482977,66,197,16,954.651474237,93.014859204,4:45
Shiyuan_Rope,7.58,4.98971621053,3951.85523874,3810.16407526,116,304,13,1501.05610937,105.69883611,6:30
Steff_Chair,71.62,2.70731213588,1061.26635726,1024.40126023,37,136,13,486.715896141,61.7813736237,3:15
Steff_JumpGlide,9.54,4.77088449697,2686.00797179,2587.6410299,92,208,10,988.855042135,74.0656923375,4:30
Steff_Rope,134.94,5.14747339547,3757.65557869,3640.36186208,105,272,14,1392.86403604,83.7396863659,6:0
Tingwei_Chair,0.0,4.72389403101,1313.24254062,1262.17371765,36,97,11,535.727404967,114.850303065,2:15
Tingwei_JumpGlide,87.5,4.73190251204,2739.77155447,2662.0849575,64,199,19,1131.66229272,144.656361096,4:45
Tingwei_Rope,101.42,5.72088422486,4685.40418016,4486.76486065,101,296,12,1783.45311692,147.428551956,6:45
"Yi-wei,Guo_Chair",0.0,5.34871094185,1797.16687646,1740.89126004,51,128,11,708.341691038,113.80451396,2:45
"Yi-wei,Guo_JumpGlide",9.54,4.58547267098,2604.54847711,2498.99734387,83,219,10,967.317139765,58.5454160288,4:30
"Yi-wei,Guo_Rope",17.12,4.86988631747,2517.73122613,2414.18359861,81,192,8,956.14230248,50.9541410607,4:15
